       1,00:00:00:035,       0,       0,       0
       2,00:00:00:027,       0,       0,       0
      35,00:00:00:098,       0,       0,       0
      40,00:00:00:034,       0,       0,       0
      42,00:00:00:010,       0,       0,       0
      43,00:00:00:008,       0,       0,       0
      50,00:00:00:029,       0,       0,       0
      51,00:00:00:028,       0,       0,       0
      52,00:00:00:035,       0,       0,       0
     134,00:00:00:030,       0,       0,       0
     135,00:00:00:039,       0,       0,       0
     161,00:00:00:031,       0,       0,       0
     164,00:00:00:003,       0,       0,       0
     165,00:00:00:003,       0,       0,       0
     176,00:00:00:039,       0,       0,       0
     177,00:00:00:049,       0,       0,       0
     178,00:00:00:049,       0,       0,       0
     179,00:00:00:048,       0,       0,       0
     180,00:00:00:049,       0,       0,       0
     181,00:00:00:053,       0,       0,       0
     182,00:00:00:092,       0,       0,       0
     183,00:00:00:092,       0,       0,       0
     266,00:00:00:035,       0,       0,       0
     279,00:00:00:028,       0,       0,       0
     329,00:00:00:030,       0,       0,       0
     330,00:00:00:036,       0,       0,       0
     467,00:00:00:029,       0,       0,       0
     468,00:00:00:030,       0,       0,       0
     470,00:00:00:034,       0,       0,       0
     561,00:00:00:018,       0,       0,       0
     600,00:00:00:026,       0,       0,       0
     603,00:00:00:035,       0,       0,       0
     604,00:00:00:039,       0,       0,       0
     605,00:00:00:039,       0,       0,       0
     606,00:00:00:065,       0,       0,       0
     617,00:00:00:029,       0,       0,       0
     627,00:00:00:060,       0,       0,       0
     629,00:00:00:051,       0,       0,       0
     630,00:00:00:181,       0,       0,       0
     631,00:00:00:069,       0,       0,       0
     665,00:00:00:030,       0,       0,       0
     666,00:00:00:032,       0,       0,       0
     668,00:00:00:036,       0,       0,       0
     669,00:00:00:033,       0,       0,       0
     670,00:00:00:032,       0,       0,       0
     671,00:00:00:031,       0,       0,       0
     674,00:00:00:028,       0,       0,       0
     676,00:00:00:035,       0,       0,       0
     678,00:00:00:016,       0,       0,       0
     684,00:00:00:031,       0,       0,       0
     685,00:00:00:028,       0,       0,       0
     686,00:00:00:029,       0,       0,       0
     687,00:00:00:028,       0,       0,       0
     692,00:00:00:029,       0,       0,       0
     693,00:00:00:031,       0,       0,       0
     694,00:00:00:032,       0,       0,       0
     695,00:00:00:036,       0,       0,       0
     696,00:00:00:038,       0,       0,       0
     701,00:00:00:047,       0,       0,       0
     702,00:00:00:048,       0,       0,       0
     707,00:00:00:029,       0,       0,       0
     708,00:00:00:030,       0,       0,       0
     711,00:00:00:033,       0,       0,       0
     712,00:00:00:030,       0,       0,       0
     713,00:00:00:029,       0,       0,       0
     714,00:00:00:031,       0,       0,       0
     715,00:00:00:020,       0,       0,       0
     716,00:00:00:035,       0,       0,       0
     717,00:00:00:036,       0,       0,       0
     718,00:00:00:025,       0,       0,       0
     743,00:00:00:033,       0,       0,       0
     751,00:00:00:136,       0,       0,       0
     760,00:00:00:029,       0,       0,       0
     761,00:00:00:030,       0,       0,       0
     763,00:00:00:035,       0,       0,       0
     764,00:00:00:058,       0,       0,       0
     766,00:00:00:028,       0,       0,       0
     767,00:00:00:030,       0,       0,       0
     768,00:00:00:044,       0,       0,       0
     769,00:00:00:065,       0,       0,       0
     770,00:00:00:041,       0,       0,       0
     771,00:00:00:130,       0,       0,       0
     772,00:00:00:039,       0,       0,       0
     773,00:00:00:061,       0,       0,       0
     799,-23:-2339:-842148:-89,       0,       0,       0
     807,00:00:00:025,       0,       0,       0
     831,00:00:00:039,       0,       0,       0
     832,00:00:00:047,       0,       0,       0
